Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
10/7/2025,5:00 PM,Chicago Blackhawks,2,Florida Panthers,3,,"19,655",2:34,
10/7/2025,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,,"18,145",2:37,
10/7/2025,8:00 PM,Pittsburgh Penguins,3,New York Rangers,0,,"18,006",2:16,
10/8/2025,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,SO,"18,347",2:55,
10/8/2025,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,5,,"19,037",2:25,
10/8/2025,10:00 PM,Los Angeles Kings,6,Vegas Golden Knights,5,SO,"18,393",2:45,
10/8/2025,7:30 PM,Boston Bruins,3,Washington Capitals,1,,"18,347",2:35,
10/9/2025,7:00 PM,Chicago Blackhawks,3,Boston Bruins,4,OT,"17,850",2:45,
10/9/2025,7:00 PM,New York Rangers,4,Buffalo Sabres,0,,"19,070",2:29,
10/9/2025,7:30 PM,New Jersey Devils,3,Carolina Hurricanes,6,,"18,404",2:30,
10/9/2025,9:00 PM,Utah Mammoth,1,Colorado Avalanche,2,,"18,087",2:34,
10/9/2025,7:00 PM,Montreal Canadiens,5,Detroit Red Wings,1,,"19,515",2:18,
10/9/2025,7:00 PM,Philadelphia Flyers,1,Florida Panthers,2,,"19,431",2:30,
10/9/2025,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,2,,"17,244",2:35,
10/9/2025,7:00 PM,New York Islanders,3,Pittsburgh Penguins,4,,"16,107",2:37,
10/9/2025,10:00 PM,Anaheim Ducks,1,Seattle Kraken,3,,"17,151",2:36,
10/9/2025,10:00 PM,Vegas Golden Knights,4,San Jose Sharks,3,OT,"17,435",2:37,
10/9/2025,8:00 PM,Minnesota Wild,5,St. Louis Blues,0,,"18,096",2:25,
10/9/2025,7:00 PM,Ottawa Senators,5,Tampa Bay Lightning,4,,"19,092",2:39,
10/9/2025,10:00 PM,Calgary Flames,1,Vancouver Canucks,5,,"19,012",2:33,
10/9/2025,8:00 PM,Dallas Stars,5,Winnipeg Jets,4,,"15,225",2:37,
10/11/2025,7:00 PM,Buffalo Sabres,1,Boston Bruins,3,,"17,850",2:31,
10/11/2025,7:00 PM,Philadelphia Flyers,3,Carolina Hurricanes,4,OT,"18,357",2:46,
10/11/2025,4:00 PM,St. Louis Blues,4,Calgary Flames,2,,"17,774",2:36,
10/11/2025,7:00 PM,Montreal Canadiens,3,Chicago Blackhawks,2,,"19,344",2:37,
10/11/2025,9:00 PM,Dallas Stars,5,Colorado Avalanche,4,SO,"18,129",2:41,
10/11/2025,7:00 PM,Toronto Maple Leafs,3,Detroit Red Wings,6,,"19,515",2:24,
10/11/2025,10:00 PM,Vancouver Canucks,1,Edmonton Oilers,3,,"18,347",2:33,
10/11/2025,7:00 PM,Ottawa Senators,2,Florida Panthers,6,,"19,704",2:32,
10/11/2025,8:00 PM,Columbus Blue Jackets,7,Minnesota Wild,4,,"18,836",2:41,
10/11/2025,8:00 PM,Utah Mammoth,3,Nashville Predators,2,OT,"17,177",2:43,
10/11/2025,7:00 PM,Washington Capitals,4,New York Islanders,2,,"17,255",2:44,
10/11/2025,7:00 PM,New York Rangers,6,Pittsburgh Penguins,1,,"16,716",2:26,
10/11/2025,10:00 PM,Vegas Golden Knights,1,Seattle Kraken,2,OT,"17,151",2:41,
10/11/2025,10:00 PM,Anaheim Ducks,7,San Jose Sharks,6,OT,"17,435",2:34,
10/11/2025,7:00 PM,New Jersey Devils,5,Tampa Bay Lightning,3,,"19,092",2:33,
10/11/2025,1:30 PM,Los Angeles Kings,2,Winnipeg Jets,3,,"14,204",2:35,
10/12/2025,7:00 PM,Washington Capitals,1,New York Rangers,0,,"17,479",2:26,
10/13/2025,1:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,,"17,850",2:37,
10/13/2025,12:30 PM,Colorado Avalanche,3,Buffalo Sabres,1,,"16,462",2:30,
10/13/2025,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,2,,"18,627",2:30,
10/13/2025,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,,"15,203",2:27,
10/13/2025,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,"17,102",2:52,
10/13/2025,1:00 PM,Winnipeg Jets,5,New York Islanders,2,,"13,287",2:26,
10/13/2025,1:00 PM,Nashville Predators,4,Ottawa Senators,1,,"18,500",2:49,
10/13/2025,7:00 PM,Florida Panthers,2,Philadelphia Flyers,5,,"19,421",2:27,
10/13/2025,2:00 PM,Detroit Red Wings,3,Toronto Maple Leafs,2,,"18,877",2:29,
10/13/2025,7:30 PM,St. Louis Blues,5,Vancouver Canucks,2,,"18,952",2:19,
10/14/2025,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,,"17,622",2:30,
10/14/2025,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,,"16,553",2:36,
10/14/2025,9:30 PM,Minnesota Wild,2,Dallas Stars,5,,"18,532",2:32,
10/14/2025,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,"20,962",2:39,
10/14/2025,7:00 PM,Edmonton Oilers,2,New York Rangers,0,,"16,497",2:19,
10/14/2025,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,,"12,786",2:28,
10/14/2025,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,,"18,124",2:31,
10/14/2025,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,"16,948",2:41,
10/15/2025,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,,"13,993",2:33,
10/15/2025,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,,"18,655",2:31,
10/15/2025,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,,"17,249",2:26,
10/15/2025,9:30 PM,Calgary Flames,1,Utah Mammoth,3,,"12,478",2:34,
10/16/2025,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,,"16,145",2:28,
10/16/2025,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,,"17,249",2:27,
10/16/2025,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,,"18,532",2:26,
10/16/2025,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,,"14,737",2:20,
10/16/2025,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,"20,962",2:30,
10/16/2025,7:00 PM,Florida Panthers,1,New Jersey Devils,3,,"16,514",2:26,
10/16/2025,7:30 PM,Edmonton Oilers,2,New York Islanders,4,,"14,837",2:31,
10/16/2025,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,"15,736",2:38,
10/16/2025,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,,"16,170",2:17,
10/16/2025,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,"18,267",2:28,
10/16/2025,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,,"17,927",2:48,
10/17/2025,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,"18,306",2:54,
10/17/2025,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,"19,515",2:36,
