,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Colorado Avalanche,30.4,45,33,4,8,74,0.822,181,99,1,4,1.72,-0.04,4.02,2.2,26,154,16.88,18,127,85.83,1,6,7.1,8.9,1546,11.7,1215,0.919,5,9.9,0.934,103.2,2514,1940,56.4,1776,1446,55.1,118.3,87.1,131,66,34,1185,920,56.3,417,329,55.9,49,10.5,25,7.1
Dallas Stars,28.6,47,27,11,9,63,0.67,158,130,3,3,0.52,-0.07,3.36,2.77,39,137,28.47,31,151,79.47,3,4,8.7,7.8,1187,13.3,1311,0.901,3,10.1,0.925,102.6,1793,2094,46.1,1280,1517,45.8,97.4,90.5,99,80,12,911,947,49,326,360,47.5,36,9.9,31,7.9
Tampa Bay Lightning,29.5,45,29,13,3,61,0.678,158,115,2,1,0.99,0.01,3.51,2.56,29,144,20.14,24,147,83.67,3,3,14.2,13.8,1230,12.8,1190,0.903,1,10.5,0.924,102.9,2045,1786,53.4,1448,1344,51.9,99.6,89.2,107,73,24,1028,860,54.4,411,289,58.7,38,8.5,28,8.8
Minnesota Wild,28.8,47,26,12,9,61,0.649,145,127,3,3,0.34,-0.05,3.09,2.7,35,154,22.73,25,112,77.68,3,2,6.6,8.9,1343,10.8,1395,0.909,7,8.1,0.932,101.3,2172,2359,47.9,1574,1718,47.8,97.7,99.3,90,80,12,1048,1107,48.6,358,349,50.6,31,8,25,6.7
Carolina Hurricanes,29,47,28,15,4,60,0.638,154,140,4,2,0.36,0.02,3.28,2.98,28,143,19.58,28,132,78.79,6,3,7.8,8.2,1518,10.1,1143,0.878,2,7.8,0.906,98.4,2679,1760,60.4,1903,1333,58.8,113.6,91.5,100,91,-13,1210,936,56.4,432,326,57,35,7.5,31,8.7
Detroit Red Wings,28.6,48,28,16,4,60,0.625,147,146,2,2,-0.03,-0.05,3.06,3.04,37,152,24.34,26,129,79.84,1,5,8.1,9.8,1348,10.9,1354,0.892,3,7.8,0.917,99.5,2189,2285,48.9,1584,1634,49.2,98.3,102,88,96,-4,1018,1115,47.7,354,387,47.8,26,6.8,38,8.9
Montreal Canadiens,26,47,26,14,7,59,0.628,157,150,2,4,0.09,-0.02,3.34,3.19,30,134,22.39,31,153,79.74,4,2,10.7,9.9,1230,12.8,1278,0.883,1,10,0.905,100.5,2020,2060,49.5,1447,1454,49.9,94.8,92.4,103,99,2,979,997,49.5,316,369,46.1,28,8.1,39,9.6
Vegas Golden Knights,29.1,45,22,11,12,56,0.622,146,133,1,5,0.15,-0.05,3.24,2.96,36,136,26.47,19,107,82.24,1,4,7.1,7.7,1298,11.2,1109,0.88,2,8.6,0.901,98.7,2121,1990,51.6,1508,1411,51.7,97.4,80.3,94,93,-16,950,957,49.8,349,334,51.1,42,10.7,37,10
New York Islanders,29.3,46,25,16,5,55,0.598,134,125,4,5,0.27,0.1,2.91,2.72,21,138,15.22,24,129,81.4,6,5,8.6,8.4,1283,10.4,1304,0.904,6,8.4,0.926,101,2001,2097,48.8,1458,1530,48.8,88.7,101.5,87,79,21,917,1046,46.7,321,427,42.9,25,7.2,30,6.6
Boston Bruins,28.3,47,26,19,2,54,0.574,153,145,2,1,0.2,0,3.26,3.09,34,140,24.29,36,175,79.43,1,5,13.7,11.4,1294,11.8,1399,0.896,2,9.1,0.92,101.1,2169,2203,49.6,1542,1587,49.3,92.2,102.4,100,90,20,983,1063,48,339,440,43.5,33,8.9,30,6.4
Washington Capitals,29.4,47,24,17,6,54,0.574,153,130,0,5,0.37,-0.01,3.26,2.77,21,137,15.33,34,150,77.33,1,6,9.3,8.5,1384,11.1,1322,0.902,3,9.4,0.926,102,2260,2083,52,1626,1516,51.8,110.6,95.4,110,79,16,1068,1023,51.1,396,371,51.6,38,8.8,32,7.9
