date,game,predicted_winner,actual_winner,correct,running_accuracy
2026-04-13,OTT @ DET,DET,DET,YES,100.00
2026-04-13,BUF @ SJS,SJS,SJS,YES,100.00
2026-04-13,CGY @ NSH,CGY,NSH,NO,66.67
2026-04-13,NYI @ CAR,NYI,NYI,YES,75.00
2026-04-13,ANA @ NJD,NJD,ANA,NO,60.00
2026-04-13,CHI @ VGK,CHI,CHI,YES,66.67
2026-04-13,STL @ LAK,STL,STL,YES,71.43
2026-04-14,CBJ @ VAN,VAN,,,
2026-04-14,OTT @ BOS,BOS,,,
2026-04-14,WSH @ EDM,EDM,,,
2026-04-14,CHI @ FLA,FLA,,,
2026-04-14,CGY @ NYR,NYR,,,
2026-04-14,ANA @ TOR,TOR,,,
2026-04-14,NYI @ VGK,VGK,,,
