date,visitor_team_id,visitor_goals,home_team_id,home_goals
2025-10-07,CHI,2,FLA,3
2025-10-07,COL,4,LAK,1
2025-10-07,PIT,3,NYR,0
2025-10-08,BOS,3,WSH,1
2025-10-08,CGY,4,EDM,3
2025-10-08,LAK,6,VGK,5
2025-10-08,MTL,2,TOR,5
2025-10-09,ANA,1,SEA,3
2025-10-09,CBJ,1,NSH,2
2025-10-09,CGY,1,VAN,5
2025-10-09,CHI,3,BOS,4
2025-10-09,DAL,5,WPG,4
2025-10-09,MIN,5,STL,0
2025-10-09,MTL,5,DET,1
2025-10-09,NJD,3,CAR,6
2025-10-09,NYI,3,PIT,4
2025-10-09,NYR,4,BUF,0
2025-10-09,OTT,5,TBL,4
2025-10-09,PHI,1,FLA,2
2025-10-09,UTA,1,COL,2
2025-10-09,VGK,4,SJS,3
2025-10-11,ANA,7,SJS,6
2025-10-11,BUF,1,BOS,3
2025-10-11,CBJ,7,MIN,4
2025-10-11,DAL,5,COL,4
2025-10-11,LAK,2,WPG,3
2025-10-11,MTL,3,CHI,2
2025-10-11,NJD,5,TBL,3
2025-10-11,NYR,6,PIT,1
2025-10-11,OTT,2,FLA,6
2025-10-11,PHI,3,CAR,4
2025-10-11,STL,4,CGY,2
2025-10-11,TOR,3,DET,6
2025-10-11,UTA,3,NSH,2
2025-10-11,VAN,1,EDM,3
2025-10-11,VGK,1,SEA,2
2025-10-11,WSH,4,NYI,2
2025-10-12,WSH,1,NYR,0
2025-10-13,COL,3,BUF,1
2025-10-13,DET,3,TOR,2
2025-10-13,FLA,2,PHI,5
2025-10-13,LAK,3,MIN,4
2025-10-13,NJD,3,CBJ,2
2025-10-13,NSH,4,OTT,1
2025-10-13,STL,5,VAN,2
2025-10-13,TBL,4,BOS,3
2025-10-13,UTA,1,CHI,3
2025-10-13,WPG,5,NYI,2
2025-10-14,CAR,5,SJS,1
2025-10-14,EDM,2,NYR,0
2025-10-14,MIN,2,DAL,5
2025-10-14,NSH,4,TOR,7
2025-10-14,PIT,3,ANA,4
2025-10-14,SEA,4,MTL,5
2025-10-14,TBL,2,WSH,3
2025-10-14,VGK,4,CGY,2
2025-10-15,CGY,1,UTA,3
2025-10-15,CHI,8,STL,3
2025-10-15,FLA,1,DET,4
2025-10-15,OTT,4,BUF,8
2025-10-16,BOS,5,VGK,6
2025-10-16,CAR,4,ANA,1
2025-10-16,COL,4,CBJ,1
2025-10-16,EDM,2,NYI,4
2025-10-16,FLA,1,NJD,3
2025-10-16,NSH,2,MTL,3
2025-10-16,NYR,1,TOR,2
2025-10-16,PIT,4,LAK,2
2025-10-16,SEA,3,OTT,4
2025-10-16,VAN,5,DAL,3
2025-10-16,WPG,5,PHI,2
2025-10-17,MIN,1,WSH,5
2025-10-17,SJS,3,UTA,6
2025-10-17,TBL,1,DET,2
2025-10-17,VAN,3,CHI,2
2025-10-18,BOS,1,COL,4
2025-10-18,CAR,4,LAK,3
2025-10-18,CGY,1,VGK,6
2025-10-18,DAL,1,STL,3
2025-10-18,EDM,3,NJD,5
2025-10-18,FLA,0,BUF,3
2025-10-18,MIN,1,PHI,2
2025-10-18,NSH,1,WPG,4
2025-10-18,NYI,5,OTT,4
2025-10-18,NYR,4,MTL,3
2025-10-18,PIT,3,SJS,0
2025-10-18,SEA,4,TOR,3
2025-10-18,TBL,2,CBJ,3
2025-10-19,ANA,1,CHI,2
2025-10-19,BOS,2,UTA,3
2025-10-19,EDM,2,DET,4
2025-10-19,VAN,4,WSH,3
2025-10-20,BUF,2,MTL,4
2025-10-20,CAR,1,VGK,4
2025-10-20,MIN,3,NYR,1
2025-10-20,SEA,2,PHI,5
2025-10-20,WPG,2,CGY,1
2025-10-21,ANA,5,NSH,2
2025-10-21,CBJ,5,DAL,1
2025-10-21,COL,3,UTA,4
2025-10-21,EDM,3,OTT,2
2025-10-21,FLA,4,BOS,3
2025-10-21,LAK,2,STL,1
2025-10-21,NJD,5,TOR,2
2025-10-21,SEA,1,WSH,4
2025-10-21,SJS,3,NYI,4
2025-10-21,VAN,1,PIT,5
2025-10-22,DET,2,BUF,4
2025-10-22,MIN,1,NJD,4
2025-10-22,MTL,2,CGY,1
2025-10-23,ANA,7,BOS,5
2025-10-23,CAR,5,COL,4
2025-10-23,CHI,3,TBL,2
2025-10-23,DET,2,NYI,7
2025-10-23,LAK,3,DAL,2
2025-10-23,MTL,5,EDM,6
2025-10-23,PHI,1,OTT,2
2025-10-23,PIT,5,FLA,3
2025-10-23,SEA,3,WPG,0
2025-10-23,SJS,6,NYR,5
2025-10-23,UTA,7,STL,4
2025-10-23,VAN,1,NSH,2
2025-10-24,CGY,3,WPG,5
2025-10-24,SJS,1,NJD,3
2025-10-24,TOR,3,BUF,5
2025-10-24,WSH,5,CBJ,1
2025-10-25,ANA,3,TBL,4
2025-10-25,BUF,3,TOR,4
2025-10-25,CAR,2,DAL,3
2025-10-25,CBJ,5,PIT,4
2025-10-25,COL,2,BOS,3
2025-10-25,EDM,2,SEA,3
2025-10-25,LAK,4,NSH,5
2025-10-25,MTL,4,VAN,3
2025-10-25,NYI,3,PHI,4
2025-10-25,OTT,7,WSH,1
2025-10-25,STL,4,DET,6
2025-10-25,UTA,6,MIN,2
2025-10-25,VGK,0,FLA,3
2025-10-26,COL,3,NJD,4
2025-10-26,DAL,3,NSH,2
2025-10-26,EDM,3,VAN,4
2025-10-26,LAK,3,CHI,1
2025-10-26,NYR,1,CGY,5
2025-10-26,SJS,6,MIN,5
2025-10-26,UTA,3,WPG,2
2025-10-26,VGK,1,TBL,2
2025-10-27,BOS,2,OTT,7
2025-10-27,STL,3,PIT,6
2025-10-28,ANA,3,FLA,2
2025-10-28,CBJ,4,BUF,3
2025-10-28,CGY,3,TOR,4
2025-10-28,DET,5,STL,2
2025-10-28,LAK,4,SJS,3
2025-10-28,MTL,4,SEA,3
2025-10-28,NJD,4,COL,8
2025-10-28,NYI,2,BOS,5
2025-10-28,NYR,2,VAN,0
2025-10-28,OTT,3,CHI,7
2025-10-28,PIT,2,PHI,3
2025-10-28,TBL,5,NSH,2
2025-10-28,UTA,3,EDM,6
2025-10-28,VGK,6,CAR,3
2025-10-28,WPG,4,MIN,3
2025-10-28,WSH,0,DAL,1
2025-10-29,TOR,3,CBJ,6
2025-10-30,BUF,3,BOS,4
2025-10-30,CGY,3,OTT,4
2025-10-30,CHI,3,WPG,6
2025-10-30,DAL,1,TBL,2
2025-10-30,DET,4,LAK,3
2025-10-30,NJD,2,SJS,5
2025-10-30,NSH,1,PHI,4
2025-10-30,NYI,2,CAR,6
2025-10-30,NYR,4,EDM,3
2025-10-30,PIT,4,MIN,1
2025-10-30,VAN,4,STL,3
2025-10-31,COL,4,VGK,2
2025-10-31,DET,2,ANA,5
2025-10-31,NYI,3,WSH,1
2025-11-01,CAR,1,BOS,2
2025-11-01,CGY,2,NSH,4
2025-11-01,CHI,2,EDM,3
2025-11-01,COL,2,SJS,3
2025-11-01,DAL,3,FLA,4
2025-11-01,NJD,4,LAK,1
2025-11-01,NYR,3,SEA,2
2025-11-01,OTT,3,MTL,4
2025-11-01,PIT,2,WPG,5
2025-11-01,STL,2,CBJ,3
2025-11-01,TOR,5,PHI,2
