team_id,team_name,s,sv,pdo,cf,ca,cf_1,ff,fa,ff_1,xgf,xga,agf,aga,axdiff,scf,sca,scf_1,hdf,hda,hdf_1,hdgf,hdc,hdga,hdco
COL,Colorado Avalanche,9.1,0.926,101.7,4425,3283,57.4,3140,2479,55.9,202.7,152.2,211,126,35,2025,1582,56.1,707,564,55.6,73,9.4,45,7.4
CAR,Carolina Hurricanes,8.2,0.902,98.4,4501,2957,60.4,3222,2235,59.0,196.4,159.3,181,159,-15,2060,1587,56.5,717,559,56.2,65,8.3,59,9.5
DAL,Dallas Stars,9.8,0.923,102.1,3143,3422,47.9,2247,2441,47.9,163.4,152.0,163,132,20,1551,1544,50.1,565,561,50.2,63,10.0,49,8.0
BUF,Buffalo Sabres,9.5,0.92,101.5,3602,3634,49.8,2686,2732,49.6,172.0,179.7,186,154,40,1702,1808,48.5,602,611,49.6,58,8.8,61,9.1
MTL,Montreal Canadiens,10.2,0.914,101.6,3505,3636,49.1,2526,2592,49.4,166.7,168.4,182,158,26,1723,1772,49.3,564,674,45.6,54,8.7,62,8.4
TBL,Tampa Bay Lightning,10.0,0.917,101.7,3727,3201,53.8,2670,2433,52.3,179.3,160.3,190,146,25,1816,1556,53.9,700,532,56.8,71,9.2,51,8.7
MIN,Minnesota Wild,8.4,0.924,100.7,3733,3910,48.8,2741,2866,48.9,171.6,176.2,164,153,16,1800,1834,49.5,608,595,50.5,57,8.6,55,8.5
BOS,Boston Bruins,9.6,0.922,101.7,3673,3737,49.6,2642,2736,49.1,154.4,178.9,178,150,53,1664,1803,48.0,574,697,45.2,58,9.2,49,6.6
PIT,Pittsburgh Penguins,9.9,0.911,101.0,3809,3693,50.8,2768,2717,50.5,195.2,176.6,196,168,9,1864,1854,50.1,657,686,48.9,71,9.8,60,8.0
OTT,Ottawa Senators,9.2,0.903,99.5,3727,3270,53.3,2726,2357,53.6,180.1,144.3,179,162,-19,1825,1528,54.4,653,534,55.0,65,9.1,61,10.3
PHI,Philadelphia Flyers,9.4,0.913,100.6,3239,3444,48.5,2354,2469,48.8,159.9,144.4,158,146,-4,1606,1613,49.9,549,555,49.7,54,9.0,43,7.2
WSH,Washington Capitals,9.4,0.922,101.5,3713,3711,50.0,2697,2668,50.3,173.8,169.3,178,146,28,1794,1808,49.8,662,651,50.4,65,8.9,61,8.6
