team_id,team_name,avage,gp,w,l,ol,pts,pts_1,gf,ga,sow,sol,srs,sos,gf_g,ga_g,pp,ppo,pp_1,ppa,ppoa,pk,sh,sha,pim_g,opim_g,s,s_1,sa,sv,so
COL,Colorado Avalanche,30.7,79,52,16,11,115,0.728,292,195,3.0,6.0,1.14,-0.05,3.7,2.47,45,251,17.93,36,227,84.14,2,13,7.4,8.0,2661,11.0,2060,0.905,7
CAR,Carolina Hurricanes,29.4,80,52,22,6,110,0.688,287,233,5.0,3.0,0.71,0.01,3.59,2.91,59,239,24.69,44,227,80.62,12,4,7.9,8.1,2591,11.1,1908,0.878,3
DAL,Dallas Stars,28.7,80,48,20,12,108,0.675,264,214,5.0,4.0,0.6,-0.04,3.3,2.68,69,242,28.51,48,244,80.33,4,6,8.7,8.4,2014,13.1,2094,0.898,5
BUF,Buffalo Sabres,26.8,80,49,23,8,106,0.663,275,236,5.0,0.0,0.57,0.02,3.44,2.95,48,241,19.92,41,224,81.7,10,5,9.8,10.2,2257,12.2,2337,0.899,5
MTL,Montreal Canadiens,26.2,81,48,23,10,106,0.654,277,247,4.0,5.0,0.39,0.03,3.42,3.05,56,239,23.43,54,248,78.23,8,4,10.4,10.8,2127,13.0,2256,0.891,1
TBL,Tampa Bay Lightning,30.0,80,49,25,6,104,0.65,280,222,4.0,2.0,0.77,0.02,3.5,2.78,51,242,21.07,44,252,82.54,6,6,14.9,13.9,2252,12.4,2137,0.896,2
MIN,Minnesota Wild,29.2,80,45,23,12,102,0.638,262,227,4.0,5.0,0.39,-0.03,3.28,2.84,64,252,25.4,42,206,79.61,6,4,7.8,9.2,2342,11.2,2351,0.903,8
BOS,Boston Bruins,28.5,81,44,27,10,98,0.605,264,247,4.0,3.0,0.27,0.05,3.26,3.05,55,235,23.4,64,277,76.9,2,9,12.0,10.6,2190,12.1,2414,0.898,2
PIT,Pittsburgh Penguins,30.3,81,41,24,16,98,0.605,285,251,3.0,10.0,0.36,0.03,3.52,3.1,56,230,24.35,43,234,81.62,6,12,8.1,8.4,2320,12.3,2213,0.887,4
OTT,Ottawa Senators,28.9,81,43,27,11,97,0.599,272,244,3.0,1.0,0.39,0.02,3.36,3.01,61,260,23.46,57,234,75.64,8,6,9.7,10.2,2331,11.7,1980,0.877,4
PHI,Philadelphia Flyers,27.7,80,41,27,12,94,0.588,234,235,9.0,4.0,0.08,0.03,2.93,2.94,36,233,15.45,54,241,77.59,7,9,9.7,9.8,2040,11.5,2032,0.884,0
WSH,Washington Capitals,29.3,81,42,30,9,93,0.574,259,237,2.0,6.0,0.24,0.02,3.2,2.93,42,238,17.65,50,251,80.08,4,11,9.6,9.2,2276,11.4,2280,0.896,5
CBJ,Columbus Blue Jackets,28.0,81,40,29,12,92,0.568,245,249,7.0,2.0,0.05,0.04,3.02,3.07,38,200,19.0,52,218,76.15,5,5,8.0,7.4,2382,10.3,2341,0.894,3
NYI,New York Islanders,29.6,81,43,33,5,91,0.562,228,234,4.0,5.0,-0.06,0.03,2.81,2.89,40,240,16.67,41,213,80.75,9,9,7.9,8.5,2278,10.0,2249,0.896,9
DET,Detroit Red Wings,29.1,80,41,30,9,91,0.569,235,242,2.0,4.0,-0.08,0.04,2.94,3.03,56,242,23.14,47,208,77.4,3,5,7.8,9.2,2258,10.4,2225,0.891,5
VGK,Vegas Golden Knights,29.5,80,37,26,17,91,0.569,254,239,1.0,8.0,0.05,-0.05,3.18,2.99,56,228,24.56,37,199,81.41,5,6,7.4,8.1,2313,11.0,1953,0.878,3
EDM,Edmonton Oilers,29.7,80,40,30,10,90,0.563,275,263,0.0,3.0,0.04,-0.07,3.44,3.29,66,216,30.56,49,216,77.31,6,7,9.1,9.5,2373,11.6,2144,0.877,5
ANA,Anaheim Ducks,27.6,80,42,32,6,90,0.563,258,281,8.0,0.0,-0.25,-0.06,3.23,3.51,47,255,18.43,59,254,76.77,8,6,10.1,10.4,2449,10.5,2285,0.877,0
UTA,Utah Mammoth,28.9,80,42,32,6,90,0.563,260,232,0.0,0.0,0.32,-0.03,3.25,2.9,44,225,19.56,52,243,78.6,8,3,9.6,9.4,2215,11.7,2089,0.889,3
LAK,Los Angeles Kings,31.1,79,34,26,19,87,0.551,211,228,5.0,9.0,-0.29,-0.03,2.67,2.89,37,218,16.97,59,235,74.89,7,7,8.2,7.8,2205,9.6,2150,0.894,6
NJD,New Jersey Devils,29.7,81,42,36,3,87,0.537,226,249,4.0,1.0,-0.2,0.05,2.79,3.07,45,204,22.06,43,208,79.33,7,4,7.6,7.4,2405,9.4,2218,0.888,2
NSH,Nashville Predators,29.8,80,38,32,10,86,0.538,236,259,5.0,2.0,-0.26,-0.01,2.95,3.24,53,234,22.65,43,239,82.01,8,2,8.8,8.4,2235,10.6,2367,0.891,1
WPG,Winnipeg Jets,30.8,79,35,32,12,82,0.519,223,239,2.0,4.0,-0.24,-0.01,2.82,3.03,39,216,18.06,46,214,78.5,6,4,7.8,7.6,2087,10.7,2170,0.89,0
SJS,San Jose Sharks,27.3,79,37,34,8,82,0.519,238,282,2.0,2.0,-0.58,-0.02,3.01,3.57,51,248,20.56,58,239,75.73,3,8,8.8,8.4,2037,11.7,2352,0.88,0
FLA,Florida Panthers,30.3,80,38,38,4,80,0.5,235,271,5.0,2.0,-0.35,0.06,2.94,3.39,51,263,19.39,52,267,80.52,6,7,11.4,11.9,2248,10.5,2144,0.874,4
STL,St. Louis Blues,28.4,79,34,33,12,80,0.506,212,243,1.0,4.0,-0.46,-0.03,2.68,3.08,37,208,17.79,51,215,76.28,6,3,7.9,7.9,1993,10.6,2195,0.889,7
SEA,Seattle Kraken,29.2,79,34,34,11,79,0.5,220,246,2.0,6.0,-0.43,-0.05,2.78,3.11,43,219,19.63,59,208,71.63,2,7,7.5,8.0,2021,10.9,2324,0.894,2
TOR,Toronto Maple Leafs,29.6,80,32,34,14,78,0.488,246,286,1.0,4.0,-0.49,0.05,3.08,3.58,41,193,21.24,40,223,82.06,6,7,9.3,8.1,2112,11.6,2590,0.89,3
CGY,Calgary Flames,28.2,80,33,38,9,75,0.469,204,252,4.0,3.0,-0.62,-0.03,2.55,3.15,36,224,16.07,48,239,79.92,11,4,10.7,10.0,2254,9.1,2387,0.894,2
NYR,New York Rangers,29.2,80,33,38,9,75,0.469,229,244,3.0,1.0,-0.12,0.05,2.86,3.05,52,209,24.88,50,245,79.59,6,9,8.2,7.3,2018,11.3,2315,0.895,3
CHI,Chicago Blackhawks,26.4,80,28,38,14,70,0.438,204,263,3.0,5.0,-0.77,-0.01,2.55,3.29,40,228,17.54,38,232,83.62,5,3,8.8,8.6,1975,10.3,2414,0.891,5
VAN,Vancouver Canucks,28.0,80,24,48,8,56,0.35,205,305,6.0,2.0,-1.2,0.0,2.56,3.81,50,231,21.65,63,223,71.75,9,6,8.5,8.6,2091,9.8,2376,0.872,2
